,"Present Active Participle
2nd Aorist Active (With Stem Change)",,,"Present Middle/Passive Participle
2nd Aorist Middle (With Stem Change)",,,1st Aorist Active Participle,,,1st Aorist Middle Participle,,,1st Aorist Passive Participle,,,2nd Aorist Passive Participle,,,Perfect Active Participle,,,Perfect Middle/Passive Participle,,
,Masc,Fem,Neut,Masc,Fem,Neut,Masc,Fem,Neut,Masc,Fem,Neut,Masc,Fem,Neut,Masc,Fem,Neut,Masc,Fem,Neut,Masc,Fem,Neut
Nom S,λυων,λυουσα,λυον,λυομενος,λυομενη,λυομενον,λυσας,λυσασα,λυσαν,λυσαμενος,λυσαμενη,λυσαμενον,λυθεις,λυθεισα,λυθεν,λειπεις,λειπεισα,λειπεν,λελυκως,λελυκυια,λελυκος,λελυμενος,λελυμενη,λελυμενον
Gen S,λυοντος,λυουσης,λυοντος,λυομενου,λυομενης,λυομενου,λυσαντος,λυσασης,λυσαντος,λυσαμενου,λυσαμενης,λυσαμενου,λυθεντος,λυθεισης,λυθεντος,λειπεντος,λειπεισης,λειπεντος,λελυκοτος,λελυκυιας,λελυκοτος,λελυμενου,λελυμενης,λελυμενου
Dat S,λυοντι,λυουσῃ,λυοντι,λυομενῳ,λυομενῃ,λυομενῳ,λυσαντι,λυσασῃ,λυσαντι,λυσαμενῳ,λυσαμενῃ,λυσαμενῳ,λυθεντι,λυθεισῃ,λυθεντι,λειπεντι,λειπεισῃ,λειπεντι,λελυκοτι,λελυκυιᾳ,λελυκοτι,λελυμενῳ,λελυμενῃ,λελυμενῳ
Acc S,λυοντα,λυουσαν,λυον,λυομενον,λυομενην,λυομενον,λυσαντα,λυσασαν,λυσαν,λυσαμενον,λυσαμενην,λυσαμενον,λυθεντα,λυθεισαν,λυθεν,λειπεντα,λειπεισαν,λειπεν,λελυκοτα,λελυκυιαν,λελυκος,λελυμενον,λελυμενην,λελυμενον
Nom Pl,λυοντες,λυουσαι,λυοντα,λυομενοι,λυομεναι,λυομενα,λυσαντες,λυσασαι,λυσαντα,λυσαμενοι,λυσαμεναι,λυσαμενα,λυθεντες,λυθεισαι,λυθεντα,λειπεντες,λειπεισαι,λειπεντα,λελυκοτες,λελυκυιαι,λελυκοτα,λελυμενοι,λελυμεναι,λελυμενα
Gen Pl,λυοντων,λυουσων,λυοντων,λυομενων,λυομενων,λυομενων,λυσαντων,λυσασων,λυσαντων,λυσαμενων,λυσαμενων,λυσαμενων,λυθεντων,λυθεισων,λυθεντων,λειπεντων,λειπεισων,λειπεντων,λελυκοτων,λελυκυιαων,λελυκοτων,λελυμενων,λελυμενων,λελυμενων
Dat Pl,λυουσι(ν),λυουσαις,λυουσι(ν),λυομενοις,λυομεναις,λυομενοις,λυσασι,λυσασαις,λυσασι,λυσαμενοις,λυσαμεναις,λυασμενοις,λυθεισι,λυθεισαις,λυθεισι,λειπεισι,λειπεισαις,λειπεισι,λελυκοσι,λελυκυιαις,λελυκοσι,λελυμενοις,λελυμεναις,λελυμενοις
Acc Pl,λυοντας,λυουσας,λυοντα,λυομενους,λυομενας,λυομενα,λυσαντας,λυσασας,λυσαντα,λυσαμενους,λυσαμενας,λυσαμενα,λυθεντας,λυθεισας,λυθεντα,λειπεντας,λειπεισας,λειπεντα,λελυκοτας,λελυκυιας,λελυκοτα,λελυμενους,λελυμενας,λελυμενα
,"“He is/was/will be loosing”
“While loosing”",,,"“who himself is/was/will be loosing” (Middle Adj)
“while he himself is/was/will be loosing” (Middle Adv)
“”
“”",,,"“”
After",,,"“”
After",,,"is/was
After",,,"Participle Functions:
Attributive/Adjectival
Substantival
Adverbial (Temporal)
Periphrastic
Gen Absolute",,,,,,,,
