Key,POS,DictForm,Transliteration,Translation,SpecialTags,LinkedTo,Mnemonic,Chapter,DifficultyPreset,Type,Subtype,Case_,Number,Gender,Person,Tense,Voice,Mood
1,V,αγω,ago,I lead,,0,agent,3,0,ω,,None,1,None,1,P,A,I
2,V,ακουω,akouo,I hear,,0,acoustics,3,0,ω,,None,1,None,1,P,A,I
3,V,βαπτιζω,baptidzo,I baptize,,0,baptism,3,0,ω,,None,1,None,1,P,A,I
4,V,βλεπω,blepo,I see,,0,0,3,0,ω,,None,1,None,1,P,A,I
5,V,γραφω,grapho,I write,,0,graphics,3,0,ω,,None,1,None,1,P,A,I
6,V,διδασκω,didasko,I teach,,0,didactic,3,0,ω,,None,1,None,1,P,A,I
7,V,δοξαζω,doxadzo,I glorify,,0,doxology,3,0,ω,,None,1,None,1,P,A,I
8,V,ἐτοιμαζω,hetoimadzo,I prepare,,0,0,3,0,ω,,None,1,None,1,P,A,I
9,V,εχω,echo,I have,,0,hectic;habitual,3,0,ω,,None,1,None,1,P,A,I
10,V,θεραπευω,therapeuo,I heal,,0,therapy,3,0,ω,,None,1,None,1,P,A,I
11,V,κηρυσσω,kerusso,I preach,,0,kerygma,3,0,ω,,None,1,None,1,P,A,I
12,V,λυω,luo,I loose,,0,analysis,3,0,ω,,None,1,None,1,P,A,I
13,V,πειθω,peitho,I trust,,0,0,3,0,ω,,None,1,None,1,P,A,I
14,V,πεμπω,pempo,I send,,0,pomp,3,0,ω,,None,1,None,1,P,A,I
15,V,πιστευω,pisteuo,I believe,,0,0,3,0,ω,,None,1,None,1,P,A,I
16,V,σωζω,sodzo,I save,,0,soteriology,3,0,ω,,None,1,None,1,P,A,I
17,V,αξω,axo,I will lead,,1,agent,3,0,ω,,None,1,None,1,F,A,I
18,V,ακουσω,akouso,I will hear,,2,acoustics,3,0,ω,,None,1,None,1,F,A,I
19,V,βαπτισω,baptiso,I will baptize,,3,baptism,3,0,ω,,None,1,None,1,F,A,I
20,V,βλεψω,blepso,I will see,,4,0,3,0,ω,,None,1,None,1,F,A,I
21,V,γραψω,grapso,I will write,,5,graphics,3,0,ω,,None,1,None,1,F,A,I
