Indicative,Singular,Plural,Singular,Plural,,,Singular,Plural
Present,λυω,λυομεν,ειμι,εσμεν,,,I loose,We loose
Active,λυεις,λυετε,ει,εστε,,,You loose,Y’all loose
Indicative,λυει,λυουσι,εστι,εισι,,,He does loose,They loose
,,,,,,,,
Future,λυσω,λυσομεν,,,,,I will loose,We will loose
Active,λυσεις,λυσετε,,,,,You will loose,Y’all will loose
Indicative,λυσει,λυσουσι,,,,,He will loose,They will loose
"will _
will be _ing",,,,,,,,
Imperfect,ελυον,ελυομεν,ημην,ημεν,,,I was loosing,
Active,ελυες,ελυετε,ης,ητε,,,,
Indicative,ελυε,ελυον,ην,ησαν,,,,
(was _ing),,,,,,,,
Aorist,ελυσα,ελυσαμεν,,,,,I loosed,
Active,ελυσας,ελυσατε,,,,,,
Indicative,ελυσε,ελυσαν,,,,,,
"(have,has _ed)",Aorist can have two different ways of expressing itself: These endings (σα or κα) or a stem change,,,,,,,
Perfect,λελυκα,λελυκαμεν,,,,,,
Active,λελυκας,λελυκατε,,,,,,
Indicative,λελυκε,λελυκασι,,,,,,
(did _),λε = Reduplicated Syllable,,,,,,,
PluPerfect,ελελυκειν,ελελυκειμεν,,,,,,
Active,ελελυκεις,ελελυκειτε,,,,,,
Indicative,ελελυκει(ν),ελελυκεισαν,,,,,,
(had _ed),,,,,,,,
Present,λυομαι,λυμεθα,-μαι,-μεθα,Middle,Passive,,
Middle/Passive,λυῃ,λυεσθε,-σαι,-σθε,"Direct Object
","Agent
 1. Direct - ὑπο + gen noun
  σωζομαι ὑπο θεου
   I am being saved by God
 2. Intermediate - δια + gen noun
  σωζομαι δια του ἀποστολου
   I am being saved by the apostle
 3. Impersonal - dat noun with or without ἐν
  σωζομαι (ἐν) τῳ λογῳ τουθεου
   I am being saved by the word of God",,
Indicative,λυεται,λυονται,-ται,-νται,,,,
"Mid (I myself am _ing)
Mid (I _ myself)
Mid (I _ for myself)
Pass (I am being _ed)","σ between vowels drops
ε+α=η η+ι=ῃ",,,,,,,
Perfect,λελυμαι,λελυμεθα,,,,,,
Middle/Passive,λελυσαι,λελυσθε,,,,,,
Indicative,λελυται(ν),λελυνται(ν),,,,,,
"Mid-SelfInt (I have _ed for myself)
Mid-Reflexive (I myself have _ed)
Mid-Intensive (I have _ed myself)
Pass (I have been _ed)",,,,,,,,
Future,λυσομαι,λυσομεθα,ἐσομαι,ἐσομεθα,,,,
Middle,λυσῃ,λυσεσθε,ἐσῃ,ἐσεσθε,,,,
Indicative,λυσεται,λυσονται,ἐσται,ἐσονται,,,,
"SelfInt (I will _ for myself)
Reflexive (I will _ myself)
Intensive (I will _ for myself)",,,(Future ειμι),,,,,
Imperfect,ελυομην,ελυομεθα,,,,,,
Middle/Passive,ελυου (-σο),ελυεσθε,,,,,,
Indicative,ελυετο,ελυοντο,,,,,,
"Mid-SelfInt (I was _ing for myself)
Mid-Reflexive (I myself was _ing)
Mid-Intensive (I was _ing myself)
Pass (I was being _ed)",,,,,,,,
Aorist,ελυσαμην,ελυσαμεθα,ελελυμην,ελελυμεθα,,,,
Middle,ελυσω,ελυσασθε,ελελυου (-σο),ελελυσθε,,,,
Indicative,ελυσατο,ελυσαντο,ελελυτο,ελελυντο,,,,
"Mid-SelfInt (I _ed for myself)
Mid-Reflexive (I myself _ed)
Mid-Intensive (I _ed myself)",First Aorist,,Second Aorist,,,,,
PluPerfect,ελελυμην,ελελυμεθα,,,,,,
Middle/Passive,ελελυσο,ελελυσθε,,,,,,
Indicative,ελελυτο(ν),ελελυντο,,,,,,
"Mid-SelfInt (I had _ed for myself)
Mid-Reflexive (I myself had _ed)
Mid-Intensive (I had _ed myself)
Pass (I had been _ed)",,,,,,,,
Aorist,ελυθην,ελυθημεν,εγραφην,,,,,
Passive,ελυθης,ελυθητε,,,,,,
Indicative,ελυθη,ελυθησαν,,,,,,
,First Aorist,,Second Aorist,,,,,
Future,λυθησομαι,λυθησομεθα,γραφησομαι,,,,,
Passive,λυθσῃ,λυθησεσθε,,,,,,
Indicative,λυθησεται,λυθησονται,,,,,,
,First Future,,Second Future,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
